task_name,task_workload,task_sensitivity,task_type,server_name,server_speed,server_security,server_compromised,time_cost,risk_penalty,load_penalty,total_cost,method
Task-1,13.5,1,training,Server-A,4.2,3,False,3.2143,0.0,0.0,3.2143,naive
Task-2,6.4,2,inference,Server-B,3.6,2,False,1.7778,0.0,0.0,1.7778,naive
Task-3,14.2,5,batch,Server-C,2.5,5,False,5.68,0.0,0.0,5.68,naive
Task-4,9.6,1,inference,Server-D,1.6,3,True,6.0,50.0,0.0,106.0,naive
Task-5,6.2,5,batch,Server-E,7.9,2,False,0.7848,30.0,0.0,60.7848,naive
Task-6,5.6,5,inference,Server-A,4.2,3,False,1.3333,20.0,0.0,41.3333,naive
Task-7,10.1,3,inference,Server-B,3.6,2,False,2.8056,10.0,0.0,22.8056,naive
Task-8,14.6,3,inference,Server-C,2.5,5,False,5.84,0.0,0.0,5.84,naive
Task-9,5.9,3,inference,Server-D,1.6,3,True,3.6875,150.0,0.0,303.6875,naive
Task-10,8.8,3,batch,Server-E,7.9,2,False,1.1139,10.0,0.0,21.1139,naive
Task-1,13.5,1,training,Server-E,7.9,2,False,1.7089,0.0,0.0,1.7089,optimized
Task-2,6.4,2,inference,Server-E,7.9,2,False,0.8101,0.0,0.0,0.8101,optimized
Task-3,14.2,5,batch,Server-C,2.5,5,False,5.68,0.0,0.0,5.68,optimized
Task-4,9.6,1,inference,Server-E,7.9,2,False,1.2152,0.0,0.0,1.2152,optimized
Task-5,6.2,5,batch,Server-C,2.5,5,False,2.48,0.0,0.0,2.48,optimized
Task-6,5.6,5,inference,Server-C,2.5,5,False,2.24,0.0,0.0,2.24,optimized
Task-7,10.1,3,inference,Server-A,4.2,3,False,2.4048,0.0,0.0,2.4048,optimized
Task-8,14.6,3,inference,Server-A,4.2,3,False,3.4762,0.0,0.0,3.4762,optimized
Task-9,5.9,3,inference,Server-A,4.2,3,False,1.4048,0.0,0.0,1.4048,optimized
Task-10,8.8,3,batch,Server-A,4.2,3,False,2.0952,0.0,0.0,2.0952,optimized
